Id,SalePrice
2658,184605.38321375573
2718,211149.8301976376
2414,185882.49567483953
1989,129986.94395747082
625,187952.03772392526
333,81177.40579685965
1327,97173.80097321272
858,136714.2148083971
95,206542.70360154804
1568,175719.90359841124
2482,173076.19480680866
1364,152792.99638044607
2584,183779.11477777403
818,287849.2472973609
2673,170529.62895132363
2089,114841.73000255396
1297,184033.0997868757
790,125210.3874923017
2616,203922.02221509168
720,228918.29322853434
222,121381.98777594412
557,132126.70647666813
1148,205669.28795431758
2766,156632.5439345126
534,200569.76653392665
1452,109558.83531285339
630,125971.66315304625
2648,140420.5656441601
125,157914.82113609777
1904,16069.825685950666
1670,98789.08114327883
756,112866.80581857072
717,287380.62007887237
1032,144504.51017794412
852,223015.1771024071
1731,183636.6088487206
2639,121087.69285972719
2071,87362.04155671288
1267,106366.53684666127
1851,212966.79801708373
567,153403.96571459487
2439,212345.59036380646
1898,158109.9779730401
647,138234.1605173464
2256,219836.09352695546
979,76699.64309721824
1444,214599.33547816752
2485,112453.60252230466
157,113342.02781889783
88,121371.32192902887
2003,119385.64756413171
186,250757.03007489932
1425,273779.26536882203
2695,125620.80775223344
738,110986.58610467787
395,156554.53778434853
1353,199381.45540667116
1878,145393.02378378995
390,195466.9017026262
1456,237002.22632060671
1103,306461.16902665753
1387,143313.2595677728
2070,131300.92190935992
1199,200896.34004093305
2479,173382.88501496654
501,305591.3057477612
2362,63953.776585353684
1718,185570.54834726115
2188,29056.378345436766
1483,142005.02410940034
2557,88148.55637147097
437,298250.81136929966
2224,203431.35075501166
1628,180529.3146496297
397,123129.96716679321
587,211156.86314356205
971,149917.21372833836
2611,154718.9033557502
1887,90552.54448462793
2399,308284.9403644259
2148,217198.79497232044
304,147380.94639682103
1997,122944.33742687161
2817,118344.67416165659
1431,175726.3877644344
427,327971.5821147516
263,123045.5204573381
598,179670.71785274148
2895,258973.88072255976
687,178672.25305532594
1822,116430.37756541159
2191,99767.16059444234
179,143387.68432674848
1009,220848.91475331987
2010,116430.61396994742
1991,164252.23038207798
1411,158145.2977661959
1721,252272.4404935618
1144,183821.73317509604
593,226128.35585192672
575,263686.40663165617
1249,203361.22417445737
1604,109600.67643757441
1064,385501.15026618674
1923,161954.8405644594
1988,84590.47716146486
2325,163533.25206798688
114,209950.29509136628
2700,231140.85229000263
217,139151.2041167735
343,191605.1753568016
386,246086.56236573792
2005,98847.33929609286
2908,109429.37062234609
1814,219130.71429013973
2446,411721.92690817063
208,161114.85928794852
1679,130015.27586746169
822,304863.2572805707
6,178029.99620021874
1781,357486.41651283274
2397,265452.0541786373
2340,283890.18097586156
1618,164447.43771555382
2843,145768.16756845047
1061,325424.45444236894
2786,106976.21775619857
1935,116156.73874119663
1341,113466.54638062004
521,295763.12368590664
2136,129744.03019395686
996,180124.88087042893
227,140559.10184573568
135,151169.05694364937
1167,168211.16567257798
294,226904.9361849702
1776,213397.93252418778
540,192540.47242379567
1717,185570.54834726115
2303,102301.9081216233
116,188981.992386218
127,121561.0713153233
1371,148866.51617838093
1014,196596.13146581542
1507,82707.0193585711
702,167417.33421274333
750,193460.0407664221
261,146630.3669991222
1559,68121.19837363833
577,239417.92421108164
2812,207984.1964424955
2080,168363.29022977757
1368,129830.8817041103
2376,109018.63046017525
659,98989.20695636579
1235,123912.234322957
332,62402.75416938169
1917,137328.35585252463
2094,248630.6649604013
1460,274827.28538001556
1471,195046.12171026447
1509,115458.96017757908
1922,120669.63477848095
433,397930.03163322504
460,264756.7746635649
1116,265487.157985547
1137,168836.6181854279
53,189324.69720076345
2354,235291.78746900737
1475,213817.78469609935
1761,465512.4262832108
842,131685.44848076778
2739,182050.8697567357
2509,173461.8481941084
1007,209376.07032760524
2610,184356.44271596638
1952,90714.35107176311
2719,210002.2650745128
2921,81177.40579685965
1966,137612.33603210095
292,122302.3056236261
1204,218551.2314054789
1829,241474.5316178907
2419,189145.7540757482
391,177247.5817582226
798,137830.97729399512
481,189359.61830387166
193,214740.45954683697
555,127685.12902435972
899,63338.59941632586
2357,203173.651232036
328,111817.43361567816
1356,127697.79084941567
1154,106491.97696432579
1730,164831.85995575812
2249,148472.49258721276
1119,261402.70395166508
2856,134445.15272337652
1394,133531.97894523237
2587,134606.6996339949
61,313981.8331707573
2661,231617.10662392096
2711,137571.00430976175
1147,180480.73201820807
757,147890.05416839992
2623,88130.72040510969
2378,168966.64976566943
1413,138343.5328284556
1722,232296.23019556393
1112,205683.74102906196
1623,182066.86654787877
1201,191832.8867510807
